latitude,longitude,altitude,geometry,Name,description
45.521744,15.311508,,Point,Adlešiči,8341
45.886185,13.906631,,Point,Ajdovščina,5270
45.578244,13.73497,,Point,Ankaran,6281
46.697493,15.90889,,Point,Apače,9253
45.950911,15.58445,,Point,Artiče,8253
46.378202,14.210472,,Point,Begunje na Gorenjskem,4275
45.817076,14.384193,,Point,Begunje pri Cerknici,1382
46.606998,16.23642,,Point,Beltinci,9231
46.607469,15.89241,,Point,Benedikt,2234
46.554847,15.550461,,Point,Bistrica ob Dravi,2345
46.060368,15.661011,,Point,Bistrica ob Sotli,3256
46.0189,15.69397,,Point,Bizeljsko,8259
46.176502,14.803391,,Point,Blagovica,1223
45.993145,15.388412,,Point,Blanca,8283
46.3692,14.111252,,Point,Bled,4260
46.407091,14.098892,,Point,Blejska Dobrava,4273
46.744801,16.109734,,Point,Bodonci,9265
46.674177,16.279678,,Point,Bogojina,9222
46.335551,14.059753,,Point,Bohinjska Bela,4263
46.271512,13.95504,,Point,Bohinjska Bistrica,4264
46.281953,13.879852,,Point,Bohinjsko jezero,4265
45.922498,14.360504,,Point,Borovnica,1353
46.01282,15.280609,,Point,Boštanj,8294
46.336973,13.554382,,Point,Bovec,5230
45.860129,13.788872,,Point,Branik,5295
46.287173,15.046463,,Point,Braslovče,3314
46.262019,13.42598,,Point,Breginj,5223
45.996127,15.47493,,Point,Brestanica,8280
46.567594,15.577927,,Point,Bresternica,2354
46.327254,14.232788,,Point,Brezje,4243
46.022476,14.417839,,Point,Brezovica pri Ljubljani,1351
45.900522,15.593719,,Point,Brežice,8250
46.227115,14.463158,,Point,Brnik aerodrom,4210
45.810017,15.259151,,Point,Brusnice,8321
46.106327,15.57724,,Point,Buče,3255
45.93002,15.318031,,Point,Bučka,8276
46.717033,16.019096,,Point,Cankova,9261
46.232815,15.260353,,Point,Celje,3001
46.254422,14.485817,,Point,Cerklje na Gorenjskem,4207
45.885946,15.517845,,Point,Cerklje ob Krki,8263
45.795537,14.363251,,Point,Cerknica,1380
46.129412,13.989029,,Point,Cerkno,5292
46.568538,15.944595,,Point,Cerkvenjak,2236
46.697493,15.669594,,Point,Ceršak,2215
46.394542,15.730019,,Point,Cirkovce,2326
46.343491,15.994205,,Point,Cirkulane,2282
45.879971,14.000702,,Point,Col,5274
45.889052,15.602989,,Point,Čatež ob Savi,8251
46.179949,14.944668,,Point,Čemšenik,1413
46.048931,13.794365,,Point,Čepovan,5253
46.574439,16.288948,,Point,Črešnovci,9232
46.471207,14.849396,,Point,Črna na Koroškem,2393
45.549881,13.877449,,Point,Črni Kal,6275
45.925841,14.043617,,Point,Črni Vrh,5274
45.908644,13.777542,,Point,Črniče,5262
45.572236,15.185852,,Point,Črnomelj,8340
45.547236,13.811874,,Point,Dekani,6271
46.054173,13.614464,,Point,Deskle,5210
46.492247,15.883484,,Point,Destrnik,2253
45.686036,13.967743,,Point,Divača,6215
46.153675,14.624519,,Point,Dob,1233
46.136906,15.394592,,Point,Dobje pri Planini,3224
45.894787,15.661697,,Point,Dobova,8257
46.112754,15.057793,,Point,Dobovec,1423
45.765248,13.880196,,Point,Dobravlje,5263
46.335077,15.226021,,Point,Dobrna,3204
45.875668,14.978142,,Point,Dobrnič,8211
46.052982,14.417496,,Point,Dobrova,1356
46.652264,16.348,,Point,Dobrovnik,9223
45.997916,13.52314,,Point,Dobrovo,5212
46.139642,15.115814,,Point,Dol pri Hrastniku,1431
46.0899,14.648552,,Point,Dol pri Ljubljani,1262
46.031057,15.02346,,Point,Dole pri Litiji,1273
45.709056,14.757042,,Point,Dolenja vas,1331
45.759619,15.060883,,Point,Dolenje Toplice,8350
46.139642,14.595337,,Point,Domžale,1230
46.43975,15.956268,,Point,Dornava,2252
45.890486,13.738747,,Point,Dornberk,5294
45.635167,14.653702,,Point,Draga,1319
45.522466,15.175896,,Point,Dragatuš,8343
46.276021,15.393219,,Point,Dramlje,3222
